symptom1,symptom2,symptom3,disease,remedies
fever,fever,fever,COVID-19,Isolation; Hydration; Doctor consultation
fever,fever,cough,Gastroenteritis,ORS; Rest; Hydration
fever,fever,headache,Strep Throat,Antibiotics; Hydration; Rest
fever,fever,body pain,Strep Throat,Antibiotics; Hydration; Rest
fever,fever,chills,Pneumonia,Antibiotics; Hydration; Hospital care
fever,fever,sore throat,Asthma,Inhaler; Avoid triggers; Rest
fever,fever,shortness of breath,Gastroenteritis,ORS; Rest; Hydration
fever,fever,fatigue,Bronchitis,Honey; Ginger tea; Steam inhalation
fever,fever,nausea,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,fever,vomiting,Strep Throat,Antibiotics; Hydration; Rest
fever,fever,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,fever,none,Typhoid,Antibiotics; Hydration; Consult doctor
fever,cough,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
fever,cough,cough,Typhoid,Antibiotics; Hydration; Consult doctor
fever,cough,headache,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,cough,body pain,Pneumonia,Antibiotics; Hydration; Hospital care
fever,cough,chills,Flu,Bed rest; Hydration; Paracetamol
fever,cough,sore throat,Common Cold,Rest; Drink warm fluids; Paracetamol
fever,cough,shortness of breath,Typhoid,Antibiotics; Hydration; Consult doctor
fever,cough,fatigue,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,cough,nausea,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,cough,vomiting,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fever,cough,diarrhea,Pneumonia,Antibiotics; Hydration; Hospital care
fever,cough,none,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,headache,fever,Typhoid,Antibiotics; Hydration; Consult doctor
fever,headache,cough,Asthma,Inhaler; Avoid triggers; Rest
fever,headache,headache,Food Poisoning,IV fluids; Rest; Electrolytes
fever,headache,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
fever,headache,chills,Pneumonia,Antibiotics; Hydration; Hospital care
fever,headache,sore throat,Asthma,Inhaler; Avoid triggers; Rest
fever,headache,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
fever,headache,fatigue,Strep Throat,Antibiotics; Hydration; Rest
fever,headache,nausea,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,headache,vomiting,Strep Throat,Antibiotics; Hydration; Rest
fever,headache,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
